FID,Water,BH,Shape_Leng,Frequency,slope,Buildng,NDVI,Winding,Sport,Life,Education,Finance,Traffic,Public,Scenery,Food,POI,SVI,GVI,VW,VEI,light,POIden,OrigLen,BH_1,FREQUENC_1,SUM_C_INTR,SUM_C_BUIL,SUM_C_NDVI,SUM_C_POI,SUM_C_WIND,SUM_C_SLOP,SUM_C_WATE,SUM_C_SVI,SUM_C_GVI,SUM_C_VW,SUM_C_LIGH,SUM_C_POID,Score,startX,startY,endX,endY,Total,dij_W1,distance,score_ori,dis_ori,toatl_ori1,toatl_ori2
35,515.9665934,36,338.6337578,32,4.795562988,38816.89651,45.52198431,3,4,90,6,4,21,10,1,37,2.035875193,0.059745495,0.295281217,0.399249163,0.769062395,43466.88889,14702576.5,338.6337578,36,2,23.19498643,-0.00039636,0.150548332,8.519553373,-1.172429872,0.188366251,-0.077328286,95.48314182,25.61868448,6.71791774,0.000149124,-1.72E-07,2.445808572,120.1783819,30.2700793,120.1784028,30.2727109,8.42740016,8.554191428,3.445649941,9.398837914,338.6337578,828.2333476,3182.763802
36,149.9801012,37,105.6526733,32,7.784829495,21522.80979,20.70644058,2,7,62,19,10,46,4,1,59,2.354760154,0.07636284,0.233390394,0.254810806,0.754043827,45512,26309053.52,105.6526733,37,1,20.71952711,-0.000435436,0.178003988,8.611793198,3.062611795,0.126475796,-0.048685156,160.2163433,-84.81035949,6.813605784,-3.35E-05,-1.76E-07,2.829662048,120.165309,30.2627386,120.166258,30.2627502,4.988578455,8.170337952,1.762959099,23.13450692,105.6526733,298.9613599,2444.222502
37,147.9996453,38,112.6632883,60,6.765712524,28494.16823,9.175779222,2,10,71,15,12,34,3,0,106,2.145398424,0.157243508,0.077513176,0.276122172,0.74183724,94697.83333,35546713.56,112.6632883,38,2,-24.46487913,-0.000447579,0.240335493,8.599746378,-3.561372259,0.127542062,-0.058322452,443.0261707,193.7036876,6.821883651,-2.64E-05,-1.82E-07,3.472552736,120.1576881,30.2648255,120.1586793,30.265003,6.297796686,7.527447264,1.813592813,46.13946648,112.6632883,391.22921,5198.224014
38,26.37948776,39,17.79418348,40,7.44536173,11049.48379,43.7175964,2,7,54,12,10,22,3,1,42,2.364272584,0.133863338,0.191683065,0.108728997,0.746290558,137167,24890168.64,17.79418348,39,1,1.56368683,-0.00044693,0.097109308,8.529803272,7.368539293,0.179686481,-0.037037427,126.2452097,-2.145643992,6.781578645,-1.92E-05,-1.97E-07,3.464015104,120.1538117,30.2729078,120.1539038,30.2727944,3.908818298,7.535984896,1.128406829,45.83395905,17.79418348,61.63932034,815.577877
39,391.9231574,40,233.9568028,28,6.129983312,34053.62217,18.24837412,6,8,83,29,29,42,5,3,92,2.418893452,0.087371833,0.218397337,0.214447364,0.748627648,46545.85714,23833747.99,233.9568028,40,2,10.12346441,-0.000441039,0.239003835,8.628119449,2.122373708,0.121192243,-0.052777021,222.1755587,-36.18934178,6.828885343,-3.17E-05,-1.76E-07,2.754394776,120.1643598,30.2628514,120.1636869,30.2611675,7.408295635,8.245605224,2.689627391,20.44117104,233.9568028,644.4093954,4782.351022
40,477.1997728,41,86.57211685,8,6.388043601,24209.85028,47.46022563,2,7,36,1,5,15,3,0,14,2.215903826,0.195216728,0.135645297,0.149216624,0.755862614,64634.8,11320183.49,86.57211685,41,2,33.3312893,-0.000359409,0.059135175,8.354187859,1.351423969,0.348509315,-0.022436465,-65.66519725,-20.87091983,6.571505347,-0.000152385,-2.08E-07,2.554702739,120.1764337,30.283393,120.1771784,30.2835875,4.151777742,8.445297261,1.625151012,13.29546601,86.57211685,221.166024,1151.016637
41,625.340908,42,249.6671404,32,4.825303858,22937.72236,51.12556044,2,0,4,0,0,6,0,0,10,1.485475297,0.273017623,0.039756163,0.200088677,0.719256632,38668.75,4270966.831,249.6671404,42,2,32.9477096,-0.000342533,0.02455934,8.30498788,0.99318481,0.409398817,-0.014108652,-97.91329051,-10.82624251,6.513213457,-0.000167131,-1.99E-07,2.201301674,120.1794644,30.28552701,120.1772463,30.28523897,6.170456155,8.798698326,2.80309429,0.649494684,249.6671404,549.5926941,162.1574805
42,358.0640889,43,76.15365309,12,3.208190187,23281.47664,124.6732423,2,8,29,13,4,4,1,0,29,2.256379186,0.023351976,0.412314376,0.250791755,0.709641106,41022.8,11499007.61,76.15365309,43,1,6.897473681,-0.000395533,0.213968944,8.27908819,2.061407788,0.776050129,-0.022971187,257.69393,-70.38432851,6.560562465,-0.000149113,-2.17E-07,2.503377053,120.1582658,30.2886826,120.1589242,30.2888438,3.879994934,8.496622947,1.54990433,11.45884686,76.1536531,190.6413077,872.6330487
43,274.230777,44,195.3578021,58,5.430697441,18101.91341,67.46556789,2,5,48,42,1,26,3,0,37,2.241817491,0.102764783,0.337348397,0.175776326,0.746676821,30484.66667,13436396.32,195.3578021,44,1,0.138599904,-0.00038038,0.412563954,8.144787027,-1.710428536,1.10684226,-0.050318823,293.6308338,-15.81985416,6.389733381,-0.000219339,-1.98E-07,3.433826894,120.1639527,30.2930835,120.1638858,30.2946053,8.278436762,7.566173106,2.410848601,44.75371545,195.3578021,670.8248748,8742.987486
44,2.139458143,45,337.6733415,140,4.436599503,15834.34235,107.6490597,5,9,11,15,0,30,0,1,7,2.189213133,0.127642139,0.321671558,0.204697502,0.75658313,28098.375,8154255.972,337.6733415,45,2,3.315814132,-0.000371287,0.469170633,8.117347256,-0.972955872,1.111033221,-0.080454992,198.459355,25.02214249,6.341981721,-0.000235556,-1.78E-07,4.760101766,120.1663629,30.2933274,120.1647954,30.2952829,16.36862571,6.239898234,3.438713396,92.21263868,337.6733415,1607.359469,31137.74983
